item_id,title,description,category
1125i,title1220,description535,category30
184i,title199,description877,category40
723i,title1243,description626,category46
415i,title696,description596,category45
1207i,title992,description757,category3
1011i,title171,description613,category31
617i,title463,description393,category31
260i,title15,description32,category35
499i,title555,description275,category10
1003i,title1241,description911,category38
227i,title890,description85,category32
663i,title1157,description634,category3
216i,title677,description938,category12
1047i,title1292,description638,category26
982i,title400,description93,category44
1265i,title365,description754,category19
182i,title1159,description582,category32
124i,title140,description1120,category28
1152i,title398,description971,category31
963i,title277,description1208,category28
974i,title277,description1245,category9
1130i,title1118,description1139,category28
151i,title467,description1236,category27
941i,title507,description549,category44
910i,title501,description892,category34
1062i,title962,description448,category28
579i,title1120,description9,category6
89i,title276,description3,category9
760i,title697,description123,category37
846i,title274,description130,category35
566i,title568,description1109,category5
370i,title568,description1288,category1
445i,title589,description573,category41
881i,title1058,description796,category34
514i,title1294,description249,category21
837i,title887,description504,category26
68i,title157,description1044,category20
758i,title1094,description172,category36
1090i,title974,description302,category47
674i,title634,description183,category35
662i,title409,description997,category3
787i,title772,description111,category42
220i,title560,description504,category1
477i,title1059,description948,category37
555i,title508,description1143,category4
172i,title1278,description863,category34
1247i,title889,description1148,category32
1297i,title630,description441,category37
182i,title859,description1090,category30
1198i,title1215,description507,category24
639i,title352,description1082,category16
60i,title599,description1091,category26
144i,title723,description781,category19
269i,title1242,description511,category7
840i,title1108,description978,category27
1293i,title284,description884,category47
754i,title552,description699,category9
719i,title745,description116,category9
61i,title339,description606,category1
475i,title427,description137,category29
113i,title82,description513,category16
309i,title932,description1192,category49
761i,title373,description260,category5
1152i,title234,description330,category18
149i,title752,description687,category4
330i,title146,description364,category38
111i,title547,description109,category46
1232i,title127,description459,category43
409i,title76,description438,category41
462i,title621,description62,category47
1116i,title1097,description891,category3
163i,title550,description953,category33
268i,title783,description382,category48
436i,title91,description89,category7
95i,title402,description1218,category32
1164i,title1093,description788,category19
1086i,title976,description1080,category48
820i,title711,description563,category44
170i,title879,description706,category35
1048i,title968,description1081,category24
885i,title911,description669,category21
409i,title262,description1225,category21
226i,title467,description1228,category9
1032i,title344,description479,category34
726i,title627,description746,category3
554i,title998,description88,category7
412i,title121,description395,category29
129i,title782,description42,category32
725i,title1151,description300,category36
1258i,title1058,description302,category30
1284i,title669,description32,category47
979i,title121,description1030,category25
380i,title49,description473,category22
239i,title1214,description991,category8
1175i,title946,description1101,category34
1129i,title262,description1008,category28
240i,title501,description313,category12
655i,title427,description1210,category15
842i,title1037,description957,category16
313i,title961,description926,category7
230i,title573,description651,category39
783i,title242,description372,category9
126i,title1173,description697,category4
1266i,title1251,description286,category22
221i,title599,description1106,category27
452i,title107,description629,category24
510i,title82,description212,category45
800i,title950,description412,category26
241i,title1289,description1156,category34
2i,title938,description1133,category22
92i,title704,description1286,category38
782i,title181,description666,category32
880i,title1295,description1252,category29
420i,title906,description574,category29
235i,title623,description1170,category13
699i,title1055,description670,category42
1159i,title1217,description953,category46
748i,title652,description1109,category18
258i,title594,description340,category19
367i,title1276,description377,category10
1177i,title439,description1081,category37
591i,title1264,description941,category27
1196i,title55,description248,category32
1012i,title446,description1143,category34
717i,title91,description1052,category20
769i,title513,description1125,category5
1174i,title95,description1150,category7
687i,title630,description711,category38
800i,title1206,description1221,category13
374i,title989,description722,category9
621i,title632,description721,category29
723i,title1103,description632,category8
948i,title570,description740,category17
978i,title850,description398,category43
364i,title445,description205,category36
1062i,title661,description1004,category6
917i,title400,description735,category10
422i,title376,description1259,category5
741i,title722,description979,category2
916i,title778,description954,category47
23i,title1109,description278,category48
75i,title907,description1276,category14
1290i,title90,description302,category17
254i,title266,description958,category9
366i,title657,description1009,category29
1092i,title977,description35,category24
784i,title945,description837,category15
1046i,title437,description1267,category10
903i,title484,description569,category1
528i,title237,description194,category14
533i,title269,description436,category20
1250i,title808,description482,category43
1043i,title498,description604,category48
1190i,title189,description1041,category14
1117i,title1192,description891,category46
639i,title435,description713,category49
1058i,title996,description304,category47
347i,title282,description1290,category3
284i,title895,description1288,category4
192i,title1042,description472,category17
1017i,title398,description1257,category21
1120i,title1079,description384,category6
661i,title681,description1076,category3
1174i,title92,description666,category22
1020i,title400,description581,category38
9i,title692,description943,category41
557i,title1041,description899,category14
311i,title1033,description686,category7
497i,title783,description1233,category48
883i,title535,description82,category49
1297i,title428,description494,category14
958i,title1193,description867,category30
894i,title952,description669,category29
683i,title164,description627,category7
146i,title392,description1103,category26
208i,title409,description328,category26
431i,title749,description908,category28
141i,title335,description284,category28
540i,title501,description674,category48
93i,title463,description424,category38
879i,title575,description915,category16
1085i,title121,description436,category49
1256i,title790,description287,category15
135i,title124,description91,category27
1104i,title769,description374,category15
406i,title1206,description913,category32
1194i,title567,description200,category15
1004i,title419,description989,category40
107i,title511,description221,category19
1290i,title641,description295,category20
251i,title412,description1104,category24
154i,title567,description593,category35
646i,title507,description858,category28
5i,title1251,description458,category10
685i,title688,description1122,category44
1292i,title1037,description927,category29
621i,title1138,description796,category6
694i,title908,description1223,category26
4i,title433,description1131,category48
1299i,title581,description17,category46
469i,title723,description554,category25
994i,title783,description870,category25
490i,title855,description1143,category46
1268i,title317,description71,category31
581i,title793,description715,category20
238i,title1215,description996,category29
1180i,title371,description1166,category2
421i,title667,description358,category46
795i,title368,description1245,category37
1090i,title198,description403,category7
1121i,title172,description59,category1
1124i,title8,description371,category1
306i,title1154,description119,category29
712i,title1199,description892,category8
625i,title74,description926,category13
315i,title965,description315,category37
322i,title676,description723,category4
109i,title22,description1006,category14
182i,title1255,description6,category14
1153i,title549,description651,category4
873i,title1018,description589,category23
285i,title277,description131,category27
422i,title980,description432,category21
1015i,title591,description1064,category13
888i,title200,description676,category22
628i,title654,description350,category28
1072i,title563,description414,category1
1135i,title690,description167,category48
400i,title1064,description673,category46
453i,title539,description1040,category7
268i,title213,description920,category28
6i,title273,description960,category5
1002i,title301,description1118,category38
44i,title269,description1087,category20
1119i,title398,description758,category4
990i,title83,description172,category22
109i,title103,description687,category2
89i,title679,description159,category22
596i,title27,description995,category31
900i,title446,description1208,category32
1150i,title986,description962,category15
1072i,title163,description802,category16
398i,title785,description317,category2
884i,title94,description565,category35
934i,title1046,description164,category41
158i,title1208,description465,category4
1108i,title548,description444,category12
268i,title1211,description570,category19
525i,title867,description402,category22
876i,title392,description171,category19
1036i,title313,description319,category44
205i,title204,description166,category26
935i,title911,description396,category33
837i,title1059,description1011,category45
265i,title1228,description402,category3
323i,title448,description1082,category12
25i,title1208,description1004,category20
539i,title1079,description1073,category22
846i,title361,description473,category42
858i,title171,description1294,category48
1i,title1239,description44,category39
1119i,title444,description955,category5
654i,title1152,description1139,category36
438i,title2,description1037,category46
1244i,title809,description90,category22
950i,title1073,description947,category36
1077i,title1229,description1072,category48
241i,title1099,description29,category10
732i,title470,description1293,category47
674i,title512,description820,category8
411i,title893,description362,category18
469i,title1009,description300,category23
891i,title842,description95,category48
1085i,title381,description614,category22
798i,title143,description149,category2
561i,title58,description804,category9
95i,title963,description277,category23
385i,title491,description233,category42
775i,title1123,description1114,category24
208i,title114,description1115,category6
751i,title741,description1070,category8
1174i,title1232,description750,category5
449i,title911,description1286,category44
611i,title836,description839,category48
942i,title276,description165,category1
393i,title2,description1203,category39
103i,title1178,description528,category4
173i,title701,description255,category1
315i,title450,description890,category11
415i,title438,description76,category36
162i,title1231,description734,category18
80i,title34,description1232,category46
1176i,title604,description908,category34
938i,title984,description24,category20
252i,title992,description326,category36
154i,title974,description1256,category16
1141i,title387,description602,category16
656i,title77,description779,category32
927i,title477,description256,category17
978i,title786,description208,category25
5i,title517,description1261,category33
1179i,title449,description371,category24
190i,title655,description734,category42
872i,title1066,description1194,category41
1092i,title121,description383,category30
461i,title959,description771,category6
1042i,title861,description1153,category44
422i,title395,description414,category41
882i,title817,description1096,category33
935i,title1185,description50,category26
271i,title344,description1175,category34
1012i,title25,description533,category33
786i,title257,description649,category2
664i,title117,description204,category38
1240i,title407,description144,category3
147i,title336,description1104,category43
974i,title145,description983,category24
339i,title928,description608,category20
715i,title357,description1249,category16
795i,title770,description115,category49
188i,title878,description1077,category49
991i,title1028,description541,category22
359i,title607,description265,category4
91i,title1183,description196,category2
729i,title625,description1218,category42
118i,title543,description107,category27
320i,title751,description1059,category4
1065i,title806,description1229,category12
779i,title957,description197,category39
381i,title824,description1108,category15
90i,title461,description957,category46
668i,title92,description829,category36
1002i,title528,description984,category8
271i,title669,description996,category32
566i,title777,description975,category7
1092i,title650,description526,category2
725i,title338,description727,category17
1006i,title880,description203,category22
106i,title972,description415,category3
171i,title110,description212,category13
572i,title1056,description28,category25
1078i,title274,description402,category16
231i,title105,description208,category1
194i,title3,description619,category26
1062i,title302,description65,category19
1219i,title591,description634,category28
937i,title365,description1251,category16
933i,title1215,description485,category10
832i,title1077,description4,category48
945i,title892,description448,category18
725i,title78,description863,category49
406i,title299,description153,category29
684i,title994,description941,category29
361i,title1254,description956,category43
1291i,title347,description1133,category14
79i,title175,description420,category31
1195i,title464,description730,category46
179i,title927,description212,category45
42i,title139,description752,category43
325i,title4,description227,category28
1166i,title971,description579,category32
10i,title629,description1262,category17
1005i,title446,description183,category3
1059i,title435,description968,category13
269i,title972,description885,category38
233i,title1077,description474,category30
152i,title199,description616,category33
458i,title101,description176,category31
492i,title280,description536,category31
1163i,title1076,description836,category7
368i,title124,description453,category19
1254i,title304,description61,category34
195i,title735,description257,category32
214i,title1131,description598,category22
567i,title882,description419,category24
323i,title333,description322,category39
688i,title749,description214,category35
553i,title705,description209,category10
1266i,title489,description552,category12
447i,title149,description982,category48
960i,title308,description181,category23
915i,title1249,description1059,category6
21i,title140,description886,category26
491i,title520,description91,category38
1275i,title469,description630,category32
1090i,title479,description187,category13
684i,title1185,description272,category20
1093i,title172,description502,category45
391i,title1283,description878,category26
437i,title1041,description1211,category42
677i,title47,description504,category37
636i,title20,description1253,category35
850i,title54,description1050,category20
20i,title1161,description745,category21
1009i,title1058,description1287,category10
216i,title538,description1068,category41
1245i,title394,description1009,category34
703i,title791,description593,category12
773i,title1235,description113,category17
91i,title494,description723,category44
843i,title538,description411,category19
764i,title546,description815,category34
1277i,title877,description270,category7
1146i,title568,description424,category33
258i,title1084,description138,category46
845i,title274,description285,category44
444i,title1241,description1012,category44
410i,title1196,description548,category36
1064i,title685,description516,category12
441i,title79,description449,category1
565i,title1238,description554,category3
90i,title1104,description849,category23
1090i,title380,description883,category23
490i,title965,description582,category6
280i,title812,description217,category4
678i,title1093,description110,category10
608i,title318,description894,category24
500i,title1097,description952,category25
1011i,title147,description440,category43
899i,title114,description815,category44
378i,title140,description1149,category39
678i,title525,description333,category26
1014i,title36,description1207,category31
284i,title1097,description1022,category4
14i,title16,description368,category37
739i,title1175,description179,category40
792i,title1022,description1196,category49
286i,title734,description1086,category33
11i,title748,description281,category15
984i,title835,description52,category11
1183i,title493,description220,category26
598i,title1141,description405,category2
969i,title1228,description794,category37
114i,title881,description676,category29
850i,title369,description1092,category14
1194i,title1294,description211,category19
935i,title928,description268,category5
926i,title532,description1138,category21
12i,title1199,description710,category28
1073i,title782,description669,category7
1151i,title1175,description1038,category37
1058i,title406,description981,category45
883i,title296,description704,category4
361i,title796,description1228,category12
482i,title646,description324,category46
1182i,title715,description268,category39
258i,title796,description147,category37
58i,title794,description17,category40
541i,title1123,description537,category9
630i,title975,description815,category48
1125i,title875,description425,category5
781i,title955,description330,category40
1000i,title471,description940,category22
1233i,title852,description515,category38
810i,title683,description1214,category2
301i,title1209,description173,category22
1290i,title394,description537,category13
699i,title236,description105,category35
140i,title684,description571,category29
80i,title325,description56,category2
1214i,title1192,description118,category9
316i,title824,description863,category7
507i,title463,description203,category39
718i,title734,description446,category48
914i,title1139,description1149,category44
409i,title982,description126,category28
1161i,title432,description135,category44
1188i,title534,description1072,category6
346i,title1084,description47,category32
3i,title1232,description464,category12
381i,title740,description542,category8
846i,title401,description728,category35
617i,title1057,description213,category44
468i,title987,description526,category15
536i,title1267,description791,category42
237i,title165,description863,category38
596i,title1092,description488,category3
1016i,title562,description978,category22
1102i,title1080,description1034,category30
1021i,title1109,description933,category46
120i,title315,description217,category14
550i,title507,description1108,category1
375i,title166,description68,category2
237i,title875,description371,category31
1142i,title191,description323,category6
41i,title642,description360,category16
327i,title479,description878,category22
1107i,title1088,description235,category31
850i,title484,description658,category19
628i,title903,description387,category24
578i,title717,description1248,category49
489i,title1162,description430,category48
1072i,title1213,description1093,category6
1059i,title699,description623,category2
907i,title316,description529,category40
1014i,title1177,description26,category12
331i,title811,description523,category14
448i,title197,description710,category38
735i,title591,description1050,category36
1233i,title1125,description1090,category37
345i,title443,description973,category36
812i,title1142,description365,category16
446i,title11,description285,category32
703i,title335,description724,category29
543i,title633,description683,category13
392i,title717,description1021,category31
1162i,title1059,description1099,category1
1059i,title416,description74,category41
98i,title1118,description6,category11
814i,title1287,description154,category19
669i,title997,description1074,category41
655i,title734,description140,category14
1201i,title931,description1014,category8
103i,title570,description151,category45
206i,title257,description762,category48
50i,title218,description247,category2
594i,title502,description328,category8
605i,title757,description394,category43
496i,title1141,description1176,category4
563i,title1291,description61,category41
423i,title550,description1171,category45
120i,title634,description826,category4
6i,title1072,description719,category18
1045i,title487,description46,category42
635i,title166,description388,category11
107i,title324,description298,category35
127i,title900,description142,category18
156i,title1278,description490,category2
146i,title908,description777,category43
459i,title949,description760,category25
40i,title279,description1180,category21
1162i,title474,description609,category37
449i,title366,description1273,category16
663i,title926,description407,category45
506i,title378,description191,category9
490i,title646,description1152,category8
1030i,title878,description622,category13
742i,title1241,description741,category8
502i,title990,description1010,category49
814i,title1031,description434,category40
1109i,title876,description759,category23
473i,title1046,description104,category32
1139i,title373,description771,category18
1190i,title790,description674,category40
1189i,title484,description468,category5
481i,title1177,description688,category37
486i,title685,description934,category6
1027i,title193,description715,category22
999i,title899,description387,category17
237i,title1169,description638,category44
1184i,title1063,description593,category15
1121i,title737,description112,category17
654i,title437,description671,category5
721i,title94,description461,category6
330i,title140,description458,category31
463i,title227,description62,category21
1154i,title858,description1146,category15
1259i,title434,description72,category17
208i,title441,description1005,category40
1038i,title414,description779,category8
3i,title1230,description658,category4
1195i,title418,description1236,category36
1066i,title641,description1231,category32
1187i,title1197,description884,category6
112i,title383,description589,category11
783i,title629,description76,category38
310i,title236,description1096,category9
841i,title1197,description875,category26
889i,title1091,description48,category30
986i,title234,description505,category19
538i,title1028,description1185,category20
822i,title722,description357,category9
885i,title964,description475,category5
618i,title964,description603,category15
179i,title171,description453,category20
1234i,title69,description93,category39
236i,title664,description171,category26
229i,title1029,description396,category4
678i,title777,description9,category17
727i,title991,description1169,category31
41i,title1024,description712,category26
749i,title513,description515,category12
699i,title724,description1011,category1
680i,title925,description271,category21
500i,title16,description949,category11
381i,title4,description185,category36
574i,title271,description1084,category29
864i,title340,description811,category23
375i,title859,description1253,category41
131i,title93,description278,category25
44i,title96,description823,category6
564i,title238,description949,category1
310i,title201,description636,category22
584i,title309,description46,category4
58i,title542,description1073,category16
545i,title578,description1174,category3
667i,title1242,description1252,category41
827i,title27,description742,category37
310i,title1047,description899,category14
327i,title777,description288,category15
783i,title1029,description1193,category23
216i,title1168,description830,category28
508i,title1194,description449,category7
410i,title826,description1218,category24
492i,title601,description26,category14
963i,title612,description486,category8
365i,title1184,description201,category16
250i,title1097,description800,category7
193i,title800,description1073,category2
800i,title169,description1,category21
599i,title50,description1213,category46
1121i,title71,description677,category19
136i,title824,description328,category18
519i,title463,description690,category4
1066i,title1151,description376,category16
510i,title307,description455,category46
422i,title381,description1045,category25
350i,title79,description917,category36
229i,title617,description713,category17
925i,title57,description19,category1
1254i,title425,description1053,category24
713i,title816,description542,category48
551i,title803,description267,category7
403i,title675,description313,category25
1225i,title929,description888,category45
699i,title788,description176,category8
703i,title143,description959,category26
56i,title813,description164,category33
116i,title294,description629,category41
172i,title870,description1282,category44
20i,title1172,description886,category1
654i,title474,description220,category4
149i,title1073,description584,category10
295i,title1047,description297,category42
265i,title1232,description640,category34
562i,title981,description216,category17
877i,title93,description1028,category5
236i,title33,description858,category3
298i,title1256,description339,category33
1281i,title843,description1006,category18
112i,title772,description1234,category4
1107i,title933,description1049,category14
1034i,title218,description1204,category30
1278i,title1231,description1155,category39
1243i,title276,description300,category33
746i,title1146,description1164,category37
167i,title857,description773,category16
307i,title387,description818,category16
355i,title374,description1158,category16
1127i,title440,description1020,category3
953i,title911,description340,category43
599i,title319,description93,category18
482i,title1061,description1136,category11
482i,title827,description717,category40
69i,title831,description1065,category49
663i,title1258,description168,category2
167i,title554,description535,category9
622i,title174,description542,category40
1139i,title250,description1038,category18
1046i,title1205,description484,category22
1231i,title488,description651,category35
1283i,title521,description232,category44
1057i,title212,description781,category20
20i,title748,description936,category39
886i,title233,description87,category7
585i,title1080,description849,category9
117i,title1153,description756,category16
475i,title108,description981,category21
239i,title121,description772,category44
298i,title434,description613,category34
915i,title104,description1153,category42
760i,title276,description589,category14
590i,title204,description1281,category30
1299i,title515,description144,category16
1182i,title1081,description598,category26
382i,title1065,description1293,category37
899i,title372,description1126,category15
353i,title609,description539,category8
845i,title210,description759,category24
149i,title844,description393,category19
440i,title193,description106,category26
37i,title1215,description618,category42
612i,title395,description825,category18
861i,title2,description892,category43
1151i,title110,description894,category18
978i,title1043,description320,category44
757i,title316,description429,category21
78i,title60,description193,category25
957i,title439,description1267,category9
1036i,title760,description866,category1
1128i,title210,description1142,category4
567i,title1128,description1103,category5
47i,title997,description887,category6
871i,title688,description419,category37
573i,title761,description121,category35
798i,title277,description64,category24
1130i,title307,description16,category46
1159i,title1093,description838,category46
1016i,title829,description976,category3
1244i,title463,description904,category40
840i,title852,description432,category20
1214i,title1183,description827,category41
22i,title452,description542,category20
89i,title1273,description1233,category35
406i,title10,description790,category42
749i,title260,description658,category21
1247i,title356,description505,category28
772i,title16,description136,category28
584i,title778,description200,category30
48i,title1079,description458,category21
658i,title453,description402,category21
1285i,title593,description727,category46
78i,title909,description183,category31
172i,title101,description772,category49
498i,title410,description43,category21
662i,title206,description371,category46
343i,title1222,description576,category43
649i,title1202,description2,category47
872i,title484,description778,category43
961i,title1233,description482,category30
348i,title350,description287,category34
614i,title328,description803,category22
340i,title872,description123,category39
1232i,title973,description395,category1
106i,title898,description1126,category24
939i,title537,description347,category42
670i,title834,description310,category36
683i,title591,description1219,category9
236i,title524,description558,category8
545i,title125,description130,category41
1196i,title4,description371,category17
1287i,title566,description1004,category3
1101i,title894,description707,category5
103i,title825,description887,category16
841i,title458,description895,category36
993i,title692,description386,category11
300i,title732,description876,category21
592i,title249,description770,category13
1181i,title556,description709,category12
1211i,title415,description118,category44
1041i,title1116,description126,category7
681i,title1145,description633,category4
572i,title1250,description458,category34
1189i,title1225,description127,category31
444i,title847,description336,category22
1166i,title862,description442,category9
669i,title1148,description643,category29
1200i,title883,description869,category48
696i,title599,description1074,category23
321i,title5,description1215,category5
513i,title455,description668,category39
527i,title549,description1073,category16
